Neighbourhood,ObjectId
Eglinton East (138),8838
Oakridge (121),8839
Newtonbrook East (50),8840
Newtonbrook East (50),8841
Agincourt North (129),8842
Islington-City Centre West (14),8843
Dovercourt-Wallace Emerson-Junction (93),8844
Dovercourt-Wallace Emerson-Junction (93),8845
Dovercourt-Wallace Emerson-Junction (93),8846
Dovercourt-Wallace Emerson-Junction (93),8847
West Humber-Clairville (1),8848
Weston (113),8854
High Park-Swansea (87),8855
L'Amoreaux (117),9001
Danforth (66),9003
Danforth (66),9004
Tam O'Shanter-Sullivan (118),9006
Tam O'Shanter-Sullivan (118),9008
South Riverdale (70),9010
Islington-City Centre West (14),9011
The Beaches (63),9014
Eringate-Centennial-West Deane (11),9015
Eringate-Centennial-West Deane (11),9016
Eringate-Centennial-West Deane (11),9017
Eringate-Centennial-West Deane (11),9018
Agincourt South-Malvern West (128),9019
Oakridge (121),9020
Islington-City Centre West (14),9021
Waterfront Communities-The Island (77),9022
Morningside (135),9023
Newtonbrook West (36),9024
Yorkdale-Glen Park (31),9025
Rouge (131),9026
Keelesdale-Eglinton West (110),9027
Highland Creek (134),9028
Islington-City Centre West (14),9029
Annex (95),9030
Rouge (131),9038
Markland Wood (12),9039
Birchcliffe-Cliffside (122),9040
Waterfront Communities-The Island (77),9044
Yorkdale-Glen Park (31),9045
Yorkdale-Glen Park (31),9046
South Riverdale (70),9047
Niagara (82),9048
Niagara (82),9049
Niagara (82),9050
Woburn (137),9051
Roncesvalles (86),9052
Agincourt South-Malvern West (128),9053
Waterfront Communities-The Island (77),9054
Parkwoods-Donalda (45),9055
Agincourt South-Malvern West (128),9056
Agincourt South-Malvern West (128),9057
Agincourt South-Malvern West (128),9058
Agincourt South-Malvern West (128),9059
Forest Hill North (102),9060
Mimico (includes Humber Bay Shores) (17),9061
Rockcliffe-Smythe (111),9062
Willowdale East (51),9063
Waterfront Communities-The Island (77),9064
Waterfront Communities-The Island (77),9065
Humber Heights-Westmount (8),9067
Kensington-Chinatown (78),9068
Kensington-Chinatown (78),9069
South Riverdale (70),9070
Eglinton East (138),9071
Scarborough Village (139),9072
Scarborough Village (139),9073
East End-Danforth (62),9074
Highland Creek (134),9075
Cabbagetown-South St.James Town (71),9076
Dovercourt-Wallace Emerson-Junction (93),9077
Flemingdon Park (44),9080
Hillcrest Village (48),9081
High Park North (88),9082
Annex (95),9083
Stonegate-Queensway (16),9084
Waterfront Communities-The Island (77),9085
Regent Park (72),9086
Corso Italia-Davenport (92),9087
Annex (95),9088
Hillcrest Village (48),9089
Church-Yonge Corridor (75),9090
Malvern (132),9091
Malvern (132),9092
Yorkdale-Glen Park (31),9093
Bay Street Corridor (76),9094
Agincourt North (129),9095
York University Heights (27),9096
Moss Park (73),9097
Moss Park (73),9098
Moss Park (73),9099
Church-Yonge Corridor (75),9100
Weston-Pellam Park (91),9101
Princess-Rosethorn (10),9102
Clanton Park (33),9103
Black Creek (24),9104
Black Creek (24),9105
